rule,radius,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,qc_pass,claim_status
low_tv_spectral_teacher,0.01,1.0,0.9740779298104277,2.836947602588466e-06,0.0,True,claimable_rule_radius
low_tv_spectral_teacher,0.011,1.0,0.967790509025051,3.6754343543104713e-06,5.84165636103042e-07,True,claimable_rule_radius
low_tv_spectral_teacher,0.012,1.0,0.9608003615158744,6.3987143886621506e-06,1.1588470042332486e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.013,1.0,0.9528018370519792,4.71365040155186e-06,1.8252002283397188e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.014,1.0,0.9443846986361671,1.0844805841435828e-05,2.4256747724365475e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.016,1.0,0.9236093409137671,5.636034502062343e-06,4.184576608104968e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.018,1.0,0.9069767079704973,5.645786946395143e-06,5.844094080183626e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.02,1.0,0.8811268601694109,9.144362100249178e-06,8.386278729879818e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.025,1.0,0.810708470710254,1.3986418396103113e-05,1.4218732823088275e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.03,1.0,0.7119758995629619,1.647935757073171e-05,2.2256592543289627e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.04,1.0,0.5502998497548718,1.4478992575434695e-05,3.890645416910277e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.05,1.0,0.5465906928252728,5.572908114821719e-05,5.798357682251584e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.065,1.0,0.5333609962600081,6.589438967115483e-05,0.00010268228899126078,True,claimable_rule_radius
low_tv_spectral_teacher,0.08,1.0,0.6545061769601179,0.00019383897195390226,0.00013361536060924986,True,claimable_rule_radius
