rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass,diagnostic_status,bootstrap_sd
low_tv_spectral_teacher,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
low_tv_spectral_teacher,0.011,0.01,-6.537784828122788e-06,0.09526491378715028,60,True,claimable_rule_radius,5.699242378277179e-07
low_tv_spectral_teacher,0.012,0.01,-1.3302806667582187e-05,0.18223416964889044,60,True,claimable_rule_radius,1.2102601445276079e-06
low_tv_spectral_teacher,0.013,0.01,-2.117572294907376e-05,0.26223647994142624,60,True,claimable_rule_radius,1.8975736233838198e-06
low_tv_spectral_teacher,0.014,0.01,-2.9385447941817676e-05,0.33630612941925997,60,True,claimable_rule_radius,2.4135360449303147e-06
random_label,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
random_label,0.011,0.01,-2.8324250053949323e-05,0.09524312732192446,60,True,claimable_rule_radius,1.1779389248937883e-06
random_label,0.012,0.01,-6.0310637080444263e-05,0.18218716181847758,60,True,claimable_rule_radius,2.4138165110563255e-06
random_label,0.013,0.01,-9.475987030025528e-05,0.26216289579407503,60,True,claimable_rule_radius,3.8059720513748972e-06
random_label,0.014,0.01,-0.00013341149021135943,0.33620210337699047,60,True,claimable_rule_radius,5.382562773152488e-06
real_even_odd,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
real_even_odd,0.011,0.01,-1.5662467702189197e-06,0.09526988532520818,60,True,claimable_rule_radius,1.4275555553142758e-07
real_even_odd,0.012,0.01,-3.242306117074175e-06,0.18224423014944097,60,True,claimable_rule_radius,3.188392472461729e-07
real_even_odd,0.013,0.01,-5.167708211264355e-06,0.26225248795616407,60,True,claimable_rule_radius,4.661051733215247e-07
real_even_odd,0.014,0.01,-7.277120790406902e-06,0.3363282377464114,60,True,claimable_rule_radius,7.197790938292204e-07
teacher_nn,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
teacher_nn,0.011,0.01,-1.1699684128576742e-05,0.09525975188784983,60,True,claimable_rule_radius,6.789427021593587e-07
teacher_nn,0.012,0.01,-2.4697657651384574e-05,0.18222277479790663,60,True,claimable_rule_radius,1.4088462999779649e-06
teacher_nn,0.013,0.01,-3.8871576538155115e-05,0.26221878408783716,60,True,claimable_rule_radius,2.495805590779042e-06
teacher_nn,0.014,0.01,-5.430437364358196e-05,0.33628121049355825,60,True,claimable_rule_radius,3.2977850785431094e-06
