cell_id,series,dataset_id,seed,beta_ising,rewire_p,scale,C_s,rho_s
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,0.5,0.4360895405206564,0.12782091895868716
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,1.0,0.4538363216229314,0.09232735675413713
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,2.0,0.4595173802522395,0.08096523949552104
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,4.0,0.46100292337153953,0.0779941532569209
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,0.5,0.4843752133383236,0.031249573323352778
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,1.0,0.484335172558412,0.031329654883175975
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,2.0,0.4845627235532003,0.030874552893599447
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,4.0,0.48464713912584334,0.03070572174831334
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,0.5,0.45768012582532397,0.08463974834935205
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,1.0,0.4547509625390622,0.09049807492187553
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,2.0,0.45384519064686457,0.0923096187062708
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,4.0,0.4536434766537727,0.09271304669245461
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,0.5,0.477600896659551,0.044798206680897984
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,1.0,0.4786966226797176,0.04260675464056479
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,2.0,0.47927189262448233,0.04145621475103529
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,4.0,0.47954446592164385,0.04091106815671227
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,0.5,0.47577621943030635,0.04844756113938735
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,1.0,0.4650101860288647,0.06997962794227063
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,2.0,0.4632294379339432,0.07354112413211358
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,4.0,0.46284926880202476,0.07430146239595051
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,0.5,0.44319326160685907,0.11361347678628186
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,1.0,0.4458146584471845,0.10837068310563108
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,2.0,0.4469081646339955,0.1061836707320089
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,4.0,0.447247281661704,0.10550543667659197
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,0.5,0.45704556000734464,0.08590887998531067
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,1.0,0.45286746014943663,0.09426507970112674
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,2.0,0.4512394237850033,0.0975211524299934
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,4.0,0.4507278944532997,0.09854421109340064
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,0.5,0.4656335652888074,0.06873286942238516
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,1.0,0.471465629253739,0.057068741492521995
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,2.0,0.4732777845209842,0.05344443095803163
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,4.0,0.47376254536686735,0.052474909266265246
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,0.5,0.4863579561220929,0.027284087755814167
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,1.0,0.48401436856773444,0.031971262864531134
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,2.0,0.48300769859889253,0.03398460280221498
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,4.0,0.4826944360467816,0.03461112790643687
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,0.5,0.44913730113023437,0.10172539773953124
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,1.0,0.45727666862030925,0.08544666275938156
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,2.0,0.4601123444736772,0.0797753110526456
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,4.0,0.4609296978955245,0.07814060420895097
cell_beta_0p05_p_0p00,beta,10,1001234,0.05,0.0,0.5,0.4351482542422186,0.12970349151556285
cell_beta_0p05_p_0p00,beta,10,1001234,0.05,0.0,1.0,0.4368416060212578,0.12631678795748433
cell_beta_0p05_p_0p00,beta,10,1001234,0.05,0.0,2.0,0.435415195249922,0.129169609500156
cell_beta_0p05_p_0p00,beta,10,1001234,0.05,0.0,4.0,0.4347554576733432,0.1304890846533135
cell_beta_0p05_p_0p00,beta,11,1101234,0.05,0.0,0.5,0.44760914853209977,0.10478170293580047
cell_beta_0p05_p_0p00,beta,11,1101234,0.05,0.0,1.0,0.45781501827142046,0.08436996345715907
cell_beta_0p05_p_0p00,beta,11,1101234,0.05,0.0,2.0,0.4611657068162443,0.07766858636751142
cell_beta_0p05_p_0p00,beta,11,1101234,0.05,0.0,4.0,0.4620164293119229,0.07596714137615419
cell_beta_0p05_p_0p00,beta,12,1201234,0.05,0.0,0.5,0.4707440628582545,0.058511874283491
cell_beta_0p05_p_0p00,beta,12,1201234,0.05,0.0,1.0,0.4777747602406149,0.04445047951877028
cell_beta_0p05_p_0p00,beta,12,1201234,0.05,0.0,2.0,0.48004352018323493,0.03991295963353012
cell_beta_0p05_p_0p00,beta,12,1201234,0.05,0.0,4.0,0.48052007175895994,0.0389598564820801
cell_beta_0p05_p_0p00,beta,13,1301234,0.05,0.0,0.5,0.4694500088743102,0.06109998225137953
cell_beta_0p05_p_0p00,beta,13,1301234,0.05,0.0,1.0,0.48126223030670645,0.03747553938658708
cell_beta_0p05_p_0p00,beta,13,1301234,0.05,0.0,2.0,0.4842350263415733,0.03152994731685345
cell_beta_0p05_p_0p00,beta,13,1301234,0.05,0.0,4.0,0.48492115644804346,0.03015768710391311
cell_beta_0p05_p_0p00,beta,14,1401234,0.05,0.0,0.5,0.4614988503424675,0.07700229931506501
cell_beta_0p05_p_0p00,beta,14,1401234,0.05,0.0,1.0,0.4638276690085466,0.07234466198290677
cell_beta_0p05_p_0p00,beta,14,1401234,0.05,0.0,2.0,0.464507130786786,0.07098573842642793
cell_beta_0p05_p_0p00,beta,14,1401234,0.05,0.0,4.0,0.4646748139923577,0.07065037201528461
cell_beta_0p05_p_0p00,beta,15,1501234,0.05,0.0,0.5,0.4866168696376723,0.026766260724655398
cell_beta_0p05_p_0p00,beta,15,1501234,0.05,0.0,1.0,0.4896960991596091,0.02060780168078182
cell_beta_0p05_p_0p00,beta,15,1501234,0.05,0.0,2.0,0.49164797955722883,0.01670404088554236
cell_beta_0p05_p_0p00,beta,15,1501234,0.05,0.0,4.0,0.4922108491116698,0.015578301776660367
cell_beta_0p05_p_0p00,beta,16,1601234,0.05,0.0,0.5,0.48102205603005826,0.03795588793988349
cell_beta_0p05_p_0p00,beta,16,1601234,0.05,0.0,1.0,0.4767729496394346,0.04645410072113072
cell_beta_0p05_p_0p00,beta,16,1601234,0.05,0.0,2.0,0.4739214522103855,0.052157095579228936
cell_beta_0p05_p_0p00,beta,16,1601234,0.05,0.0,4.0,0.4730041053788527,0.05399178924229469
cell_beta_0p05_p_0p00,beta,17,1701234,0.05,0.0,0.5,0.42112547252312893,0.1577490549537421
cell_beta_0p05_p_0p00,beta,17,1701234,0.05,0.0,1.0,0.4305680481938615,0.138863903612277
cell_beta_0p05_p_0p00,beta,17,1701234,0.05,0.0,2.0,0.4328088952297886,0.13438220954042274
cell_beta_0p05_p_0p00,beta,17,1701234,0.05,0.0,4.0,0.43335329460017746,0.13329341079964502
cell_beta_0p05_p_0p00,beta,18,1801234,0.05,0.0,0.5,0.47498493450195245,0.05003013099609506
cell_beta_0p05_p_0p00,beta,18,1801234,0.05,0.0,1.0,0.474487202879279,0.05102559424144201
cell_beta_0p05_p_0p00,beta,18,1801234,0.05,0.0,2.0,0.4745820307901326,0.050835938419734765
cell_beta_0p05_p_0p00,beta,18,1801234,0.05,0.0,4.0,0.4744871433687445,0.05102571326251103
cell_beta_0p05_p_0p00,beta,19,1901234,0.05,0.0,0.5,0.4765460223808077,0.04690795523838461
cell_beta_0p05_p_0p00,beta,19,1901234,0.05,0.0,1.0,0.48009957584576535,0.03980084830846931
cell_beta_0p05_p_0p00,beta,19,1901234,0.05,0.0,2.0,0.4792803761058835,0.04143924778823304
cell_beta_0p05_p_0p00,beta,19,1901234,0.05,0.0,4.0,0.47878474521677195,0.04243050956645606
cell_beta_0p05_p_0p00,beta,20,2001234,0.05,0.0,0.5,0.49001090374751277,0.019978192504974453
cell_beta_0p05_p_0p00,beta,20,2001234,0.05,0.0,1.0,0.4945365220593149,0.010926955881370153
cell_beta_0p05_p_0p00,beta,20,2001234,0.05,0.0,2.0,0.4954535003301097,0.00909299933978057
cell_beta_0p05_p_0p00,beta,20,2001234,0.05,0.0,4.0,0.49558024955930147,0.008839500881397032
cell_beta_0p05_p_0p00,beta,21,2101234,0.05,0.0,0.5,0.47454485241225197,0.050910295175496056
cell_beta_0p05_p_0p00,beta,21,2101234,0.05,0.0,1.0,0.4810955775808642,0.0378088448382716
cell_beta_0p05_p_0p00,beta,21,2101234,0.05,0.0,2.0,0.4839471662280082,0.03210566754398358
cell_beta_0p05_p_0p00,beta,21,2101234,0.05,0.0,4.0,0.48468677706197866,0.03062644587604267
cell_beta_0p05_p_0p00,beta,22,2201234,0.05,0.0,0.5,0.4811564711050128,0.03768705778997438
cell_beta_0p05_p_0p00,beta,22,2201234,0.05,0.0,1.0,0.4792369187544829,0.04152616249103425
cell_beta_0p05_p_0p00,beta,22,2201234,0.05,0.0,2.0,0.47705371039026656,0.045892579219466864
cell_beta_0p05_p_0p00,beta,22,2201234,0.05,0.0,4.0,0.4763353092846334,0.047329381430733154
