run,beta,radius,dataset_count,phi_energy_mean,phi_energy_ci95_low,phi_energy_ci95_high,phi_energy_ci95_half_width
30_dataset,0.29,0.01,30,-0.0004308731531333269,-0.0004904561681701353,-0.0003712901380965185,5.9583015036808375e-05
30_dataset,0.29,0.02,30,-0.0004319631346338129,-0.0004917131502400365,-0.00037221311902758925,5.975001560622363e-05
30_dataset,0.29,0.03,30,-0.00043404349738538413,-0.0004941244067802702,-0.000373962587990498,6.008090939488612e-05
30_dataset,0.29,0.04,30,-0.0004370657554147866,-0.0004976063990742884,-0.00037652511175528477,6.054064365950182e-05
30_dataset,0.29,0.05,30,-0.0004408966926588812,-0.0005020004317899103,-0.00037979295352785205,6.110373913102913e-05
30_dataset,0.29,0.06,30,-0.0004454374695176926,-0.0005071694591997608,-0.0003837054798356244,6.173198968206821e-05
30_dataset,0.29,0.07,30,-0.00045061289679295465,-0.0005130326658644286,-0.00038819312772148075,6.24197690714739e-05
30_dataset,0.29,0.08,30,-0.00045628546675716234,-0.0005194196936618421,-0.00039315123985248255,6.313422690467976e-05
30_dataset,0.29,0.09,30,-0.00046238349333717365,-0.0005262644477008357,-0.00039850253897351156,6.388095436366209e-05
30_dataset,0.29,0.1,30,-0.00046881274411109613,-0.0005334762002847112,-0.000404149287937481,6.466345617361509e-05
30_dataset,0.29,0.11,30,-0.00047564737846027364,-0.0005410903640955773,-0.00041020439282497,6.544298563530365e-05
30_dataset,0.29,0.12,30,-0.0004827226912500579,-0.0005489565200108381,-0.0004164888624892777,6.623382876078018e-05
30_dataset,0.29,0.13,30,-0.0004900323180643156,-0.0005571009756155749,-0.00042296366051305625,6.706865755125933e-05
30_dataset,0.29,0.14,30,-0.0004975172964142544,-0.0005653617090736314,-0.0004296728837548774,6.7844412659377e-05
30_dataset,0.29,0.15,30,-0.0005052869214078055,-0.0005739673410469185,-0.00043660650176869254,6.868041963911295e-05
30_dataset,0.29,0.16,30,-0.0005131296828328386,-0.0005826445772634654,-0.00044361478840221184,6.95148944306268e-05
30_dataset,0.29,0.17,30,-0.0005211738528311413,-0.0005915086988950042,-0.00045083900676727844,7.033484606386287e-05
30_dataset,0.29,0.18,30,-0.0005292691738556218,-0.0006004028752690024,-0.0004581354724422412,7.113370141338064e-05
30_dataset,0.29,0.19,30,-0.0005374979277533482,-0.0006094571387806392,-0.0004655387167260571,7.195921102729104e-05
30_dataset,0.29,0.2,30,-0.0005458964438707952,-0.0006186714910533452,-0.00047312139668824514,7.277504718255004e-05
30_dataset,0.29,0.21,30,-0.0005544748932168362,-0.0006280160359474432,-0.00048093375048622927,7.354114273060695e-05
30_dataset,0.29,0.22,30,-0.0005630694670726263,-0.0006374723501880613,-0.0004886665839571912,7.440288311543505e-05
30_dataset,0.29,0.23,30,-0.0005718695935754657,-0.0006470841386850915,-0.0004966550484658399,7.521454510962583e-05
30_dataset,0.29,0.24,30,-0.0005807542377460558,-0.00065674462986098,-0.0005047638456311315,7.599039211492425e-05
30_dataset,0.29,0.25,30,-0.0005896897404295929,-0.0006664693630438237,-0.0005129101178153621,7.67796226142308e-05
30_dataset,0.29,0.26,30,-0.0005987086368843346,-0.0006762478410491501,-0.0005211694327195192,7.753920416481543e-05
30_dataset,0.29,0.27,30,-0.0006080113832703211,-0.0006864157803746885,-0.0005296069861659537,7.840439710436742e-05
30_dataset,0.29,0.28,30,-0.0006172146294733618,-0.0006964195575047473,-0.0005380097014419763,7.92049280313855e-05
30_dataset,0.29,0.29,30,-0.0006265038006730603,-0.0007064687400534708,-0.0005465388612926499,7.996493938041045e-05
30_dataset,0.29,0.3,30,-0.0006360285630741131,-0.0007168232253332636,-0.0005552339008149627,8.079466225915043e-05
30_dataset,0.29,0.31,30,-0.0006456311472306922,-0.000727113049133244,-0.0005641492453281404,8.148190190255178e-05
30_dataset,0.29,0.32,30,-0.0006552757202309574,-0.0007375780329601141,-0.0005729734075018007,8.230231272915672e-05
30_dataset,0.29,0.33,30,-0.0006651696334422052,-0.0007482420495917536,-0.0005820972172926568,8.307241614954842e-05
30_dataset,0.29,0.34,30,-0.000674902479152132,-0.00075880622652454,-0.0005909987317797241,8.390374737240797e-05
30_dataset,0.29,0.35,30,-0.000685226095311268,-0.0007699677852237087,-0.0006004844053988273,8.47416899124407e-05
30_dataset,0.29,0.36,30,-0.0006950817561643355,-0.0007805870500391113,-0.0006095764622895597,8.55052938747758e-05
30_dataset,0.29,0.37,30,-0.0007053292835789565,-0.0007914994979741087,-0.0006191590691838044,8.617021439515213e-05
30_dataset,0.29,0.38,30,-0.0007158960188606698,-0.0008027932181193481,-0.0006289988196019915,8.68971992586783e-05
30_dataset,0.29,0.39,30,-0.0007263772195179198,-0.0008141777410351626,-0.0006385766980006771,8.780052151724277e-05
30_dataset,0.29,0.4,30,-0.0007365789558955729,-0.0008249568063218965,-0.0006482011054692493,8.83778504263236e-05
30_dataset,0.29,0.41,30,-0.0007472627611575155,-0.0008364381995027945,-0.0006580873228122366,8.917543834527895e-05
30_dataset,0.29,0.42,30,-0.0007581443242128076,-0.0008481266906624918,-0.0006681619577631235,8.998236644968413e-05
30_dataset,0.29,0.43,30,-0.000768689302348853,-0.0008592916057936095,-0.0006780869989040965,9.060230344475648e-05
30_dataset,0.29,0.44,30,-0.0007797118496531587,-0.0008710171140019467,-0.0006884065853043706,9.130526434878805e-05
30_dataset,0.29,0.45,30,-0.0007906767316066039,-0.0008828067781408717,-0.0006985466850723361,9.213004653426781e-05
30_dataset,0.29,0.46,30,-0.00080181875354446,-0.0008948028238757226,-0.0007088346832131975,9.298407033126257e-05
30_dataset,0.29,0.47,30,-0.0008130002541709332,-0.0009067143940749607,-0.0007192861142669058,9.371413990402744e-05
30_dataset,0.29,0.48,30,-0.0008242698507995423,-0.0009187496637927008,-0.0007297900378063839,9.447981299315843e-05
30_dataset,0.29,0.49,30,-0.0008358665789658374,-0.0009309422118618723,-0.0007407909460698025,9.507563289603486e-05
30_dataset,0.29,0.5,30,-0.0008470587243876419,-0.0009428513483396174,-0.0007512661004356664,9.579262395197552e-05
30_dataset,0.29,0.51,30,-0.0008587766652821606,-0.0009552176052870865,-0.0007623357252772348,9.644094000492583e-05
30_dataset,0.29,0.52,30,-0.0008701081471104382,-0.0009672290591926446,-0.0007729872350282317,9.712091208220644e-05
30_dataset,0.29,0.53,30,-0.0008819571594793765,-0.0009798062695454673,-0.0007841080494132856,9.784911006609085e-05
30_dataset,0.29,0.54,30,-0.000893697191966141,-0.00099240121595705,-0.0007949931679752321,9.870402399090895e-05
30_dataset,0.29,0.55,30,-0.000905608288248379,-0.001004918601001697,-0.0008062979754950609,9.931031275331806e-05
30_dataset,0.29,0.56,30,-0.0009174233157964982,-0.001017485302288961,-0.0008173613293040354,0.00010006198649246283
30_dataset,0.29,0.57,30,-0.0009291426538498553,-0.0010298179417829586,-0.000828467365916752,0.0001006752879331033
30_dataset,0.29,0.58,30,-0.000941662446673059,-0.0010431426723690313,-0.0008401822209770868,0.00010148022569597226
30_dataset,0.29,0.59,30,-0.0009538161346071322,-0.0010560079798361262,-0.0008516242893781384,0.0001021918452289939
30_dataset,0.29,0.6,30,-0.000965827250712836,-0.0010686574306509194,-0.0008629970707747526,0.00010283017993808341
30_dataset,0.29,0.61,30,-0.0009782776400776864,-0.0010817642454642538,-0.000874791034691119,0.00010348660538656739
