pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,radius,n_refs,dphi_dr_mean,dphi_dr_sem,positive_curvature_mean,dphi_dr_smooth_mean,dphi_dr_smooth_sem,derivative_source
pair_7_9,7/9,1,1,0.10546875,0.01,30,-0.0016379859442442021,0.00023695125145971037,0.0,-0.0016379859442442024,0.00023695125145971037,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.02,30,-0.003873001409845208,0.0005042452772165804,0.0,-0.0038730014098452073,0.0005042452772165804,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.03,30,-0.007547718220610116,0.0008100946987185073,0.0,-0.007547718220610116,0.0008100946987185073,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.04,30,-0.013372665414181587,0.001120561599341464,0.0,-0.013372665414181587,0.001120561599341464,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.05,30,-0.021149972359805543,0.0014014238836947037,0.0,-0.021149972359805546,0.0014014238836947037,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.06,30,-0.029618866007695095,0.001561899481786706,0.0,-0.02961886600769509,0.001561899481786706,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.07,30,-0.03875832832508317,0.0016379654055688625,0.0,-0.03875832832508316,0.0016379654055688625,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.08,30,-0.04716723808354436,0.0017417302839507105,0.0,-0.047167238083544366,0.0017417302839507105,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.09,30,-0.05541785296438311,0.0016505682463116356,0.0,-0.055417852964383105,0.0016505682463116356,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.1,30,-0.06164697251340883,0.0015295354518077794,0.0,-0.06164697251340883,0.0015295354518077794,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.11,30,-0.06875632912710442,0.00171574076446847,0.003151699653718302,-0.06875632912710442,0.00171574076446847,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.12,30,-0.07421203751721127,0.0016044009185471027,0.012435155055906222,-0.07421203751721128,0.0016044009185471027,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.13,30,-0.07688189871314997,0.0013662294141947118,0.007866220496775093,-0.07688189871315,0.0013662294141947118,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.14,30,-0.08234854137889061,0.0015733967712065154,0.010696494539282956,-0.08234854137889061,0.0015733967712065154,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.15,30,-0.08272930033278555,0.0013199618883900665,0.04452947430115885,-0.08272930033278555,0.0013199618883900665,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.16,30,-0.08622491737871,0.0014569503967594307,0.044727770433752624,-0.08622491737871,0.0014569503967594307,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.17,30,-0.08773655766109316,0.0015933006971048523,0.1088817259990775,-0.08773655766109316,0.0015933006971048523,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.18,30,-0.08824933821006249,0.0011271760348418433,0.16375751029759336,-0.08824933821006248,0.0011271760348418433,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.19,30,-0.08864028595987768,0.001232334076515654,0.09109701868973188,-0.08864028595987768,0.001232334076515654,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.2,30,-0.09045451729023593,0.0012943447292556845,0.19692362711292297,-0.09045451729023594,0.0012943447292556845,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.21,30,-0.08584818905883386,0.001169735415406159,0.20225561610412043,-0.08584818905883386,0.001169735415406159,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.22,30,-0.08808470729928342,0.001076046483680039,0.12131020372453306,-0.08808470729928342,0.001076046483680039,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.23,30,-0.08725096337338337,0.0010455615015130888,0.16072634478674103,-0.08725096337338337,0.0010455615015130888,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.24,30,-0.08685203624837685,0.001248063499181491,0.23349840582860057,-0.08685203624837684,0.001248063499181491,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.25,30,-0.0837505492781719,0.001218323109169848,0.19590175658877645,-0.0837505492781719,0.001218323109169848,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.26,30,-0.0840833868650081,0.0009744713846389924,0.18765093689261286,-0.08408338686500806,0.0009744713846389924,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.27,30,-0.08178653192458392,0.0009541243528625135,0.2453026617499741,-0.0817865319245839,0.0009541243528625135,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.28,30,-0.07971895328810161,0.0011484706462586188,0.22833663831414916,-0.07971895328810162,0.0011484706462586188,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.29,30,-0.07865660431345835,0.0012609919130697038,0.2761716105653688,-0.07865660431345835,0.0012609919130697038,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.3,30,-0.07556916750031299,0.0012373526472564374,0.25864256008766734,-0.07556916750031299,0.0012373526472564374,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.31,30,-0.074708899274686,0.0009904563477671144,0.1796750163689546,-0.074708899274686,0.0009904563477671144,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.32,30,-0.07365321424742982,0.0013516205877974923,0.1768340406875085,-0.07365321424742982,0.0013516205877974923,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.33,30,-0.07256473855984723,0.0009285842774077289,0.25435153626577894,-0.07256473855984726,0.0009285842774077289,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.34,30,-0.07045485568752048,0.0011510007602717263,0.1786488543470612,-0.0704548556875205,0.0011510007602717263,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.35,30,-0.0714579144799667,0.0011956466559255717,0.24907745849158325,-0.0714579144799667,0.0011956466559255717,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.36,30,-0.06685681393929417,0.0012805703975059066,0.31117968369907134,-0.06685681393929417,0.0012805703975059066,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.37,30,-0.06627043106007928,0.001060894030054411,0.15826043815013102,-0.06627043106007928,0.001060894030054411,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.38,30,-0.06590459931139385,0.0010552371940988796,0.28892474182719813,-0.06590459931139386,0.0010552371940988796,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.39,30,-0.0619207107029324,0.0011087493386728359,0.2257352271980381,-0.0619207107029324,0.0011087493386728359,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.4,30,-0.062444316950419985,0.0010332366445029767,0.17028824291325112,-0.062444316950419985,0.0010332366445029767,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.41,30,-0.06104478936439379,0.0011176593124851716,0.17285222356649613,-0.0610447893643938,0.0011176593124851716,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.42,30,-0.06111202874661454,0.0008609192919182827,0.265820940256028,-0.061112028746614554,0.0008609192919182827,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.43,30,-0.05732910865257775,0.0010205446052896378,0.20665885881489654,-0.05732910865257776,0.0010205446052896378,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.44,30,-0.05937222978577382,0.0009591713947103434,0.1313270957875257,-0.05937222978577383,0.0009591713947103434,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.45,30,-0.05781123231502543,0.000929986433724992,0.23075514961599444,-0.05781123231502543,0.000929986433724992,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.46,30,-0.05689262179293346,0.0010295952883969304,0.24826182347972645,-0.05689262179293346,0.0010295952883969304,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.47,30,-0.05454978297981134,0.0011200293144518262,0.21574147971875,-0.05454978297981134,0.0011200293144518262,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.48,30,-0.05420147586985392,0.0010571022270944195,0.17193705358447336,-0.05420147586985392,0.0010571022270944195,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.49,30,-0.05374531188310673,0.0008647796016021692,0.20159348050049525,-0.05374531188310673,0.0008647796016021692,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.5,30,-0.052510558730903524,0.0010632535016411588,0.18729697664036615,-0.05251055873090352,0.0010632535016411588,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.51,30,-0.05224477133277939,0.00088129721968455,0.20392154786905567,-0.0522447713327794,0.00088129721968455,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.52,30,-0.050953362544810296,0.0009128989389400133,0.24277081742311798,-0.05095336254481028,0.0009128989389400133,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.53,30,-0.048865263303642964,0.0009370404767922493,0.22620405675885266,-0.04886526330364295,0.0009370404767922493,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.54,30,-0.04858363285494003,0.0009854156111085382,0.16061590174980042,-0.04858363285494002,0.0009854156111085382,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.55,30,-0.04893543329775417,0.000920881919647556,0.1674823223787201,-0.04893543329775417,0.000920881919647556,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.56,30,-0.04762936482695143,0.0010556426667002738,0.16516934368490815,-0.04762936482695142,0.0010556426667002738,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.57,30,-0.04825929593659182,0.0009963705001519397,0.14561397959161965,-0.04825929593659182,0.0009963705001519397,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.58,30,-0.0475297533531173,0.0009300761104455754,0.21301818837475534,-0.0475297533531173,0.0009300761104455754,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.59,30,-0.046346843946390735,0.0010327193743740236,0.13772947148616996,-0.04634684394639073,0.0010327193743740236,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.6,30,-0.046920179997151736,0.000915293714699659,0.15323819825873936,-0.04692017999715174,0.000915293714699659,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.61,30,-0.04626077268670892,0.0007273296719388783,0.21709921858132428,-0.046260772686708924,0.0007273296719388783,sampling_time_direct_radial_score_derivative
pair_7_9,7/9,1,1,0.10546875,0.62,30,-0.04541275878221696,0.0010310525996909917,0.232429606248546,-0.04541275878221697,0.0010310525996909917,sampling_time_direct_radial_score_derivative
