cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_101234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_201234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_301234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_401234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_501234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_601234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_701234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_801234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_901234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_901234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,10,1001234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,11,1101234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,12,1201234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,13,1301234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,14,1401234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,15,1501234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,16,1601234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,17,1701234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,18,1801234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_018_seed_1801234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_018_seed_1801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,19,1901234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_019_seed_1901234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_019_seed_1901234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,20,2001234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_020_seed_2001234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_020_seed_2001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,21,2101234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_021_seed_2101234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_021_seed_2101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,22,2201234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_022_seed_2201234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_022_seed_2201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,23,2301234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_023_seed_2301234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_023_seed_2301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,24,2401234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_024_seed_2401234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_024_seed_2401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,25,2501234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_025_seed_2501234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_025_seed_2501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,26,2601234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_026_seed_2601234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_026_seed_2601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,27,2701234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_027_seed_2701234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_027_seed_2701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,28,2801234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_028_seed_2801234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_028_seed_2801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,29,2901234,0.05,0.0,raw_datasets/cell_beta_0p05_p_0p00/dataset_029_seed_2901234/dataset.npz,raw_datasets/cell_beta_0p05_p_0p00/dataset_029_seed_2901234/dataset_meta.json
cell_beta_0p06_p_0p00,beta,0,2234,0.06,0.0,raw_datasets/cell_beta_0p06_p_0p00/dataset_000_seed_002234/dataset.npz,raw_datasets/cell_beta_0p06_p_0p00/dataset_000_seed_002234/dataset_meta.json
cell_beta_0p06_p_0p00,beta,1,102234,0.06,0.0,raw_datasets/cell_beta_0p06_p_0p00/dataset_001_seed_102234/dataset.npz,raw_datasets/cell_beta_0p06_p_0p00/dataset_001_seed_102234/dataset_meta.json
