run,cell_id,dataset_id,seed,beta,dataset_path,n_points,input_dim,label_mean,label_abs_mean,knn_k,knn_edge_count,knn_edge_agreement,knn_edge_disagreement,knn_label_autocorrelation,feature_label_linear_signal
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,0,1234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2933.0,0.5349471530855779,0.46505284691442206,0.06989430617115582,0.1283712395405155
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,1,101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2961.0,0.5069233367105708,0.49307666328942923,0.013846673421141506,0.013816181687025572
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,2,201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2956.0,0.5385656292286874,0.46143437077131255,0.07713125845737483,0.05226795902564355
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,3,301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2935.0,0.5066439522998296,0.4933560477001704,0.013287904599659284,0.02661831293828719
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,4,401234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_401234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2918.0,0.5352981494174092,0.46470185058259084,0.07059629883481837,0.12131538474482127
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,5,501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2947.0,0.5327451645741432,0.4672548354258568,0.0654903291482864,0.0837826284830845
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,6,601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,3003.0,0.5434565434565435,0.4565434565434565,0.08691308691308691,0.00916292485280267
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,7,701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2951.0,0.5177905794645883,0.4822094205354117,0.03558115892917655,0.06858528846555577
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,8,801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2938.0,0.5142954390742002,0.48570456092579983,0.02859087814840027,0.03795147217023117
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,9,901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2969.0,0.5210508588750421,0.4789491411249579,0.04210171775008421,0.028132012499387724
