run,beta,dataset_count,knn_edge_disagreement_mean,knn_edge_disagreement_std,knn_label_autocorrelation_mean,feature_label_linear_signal_mean,label_abs_mean_mean,knn_edge_disagreement_sem
gaussian_random_90_dataset,0.05,90,0.5013862982355978,0.008585184198663666,-0.0027725964711956324,0.053114915360890365,0.0,0.0009049578733288227
spin_dynamics_90_dataset,0.05,90,0.47802059441871797,0.011375690919296737,0.04395881116256407,0.07345372574169355,0.0,0.0011991031087690788
spin_dynamics_90_dataset,0.07,90,0.46184779484446603,0.013863594137933479,0.07630441031106795,0.08111572160244394,0.0,0.0014613511344009446
spin_dynamics_90_dataset,0.09,90,0.4369968616477327,0.01759113416066648,0.12600627670453454,0.09614958905765371,0.0,0.0018542683524433482
spin_dynamics_90_dataset,0.11,90,0.4112540940673032,0.018897582220257957,0.1774918118653937,0.1173578346601779,0.0,0.0019919800695438966
spin_dynamics_90_dataset,0.13,90,0.3783452565699349,0.021855430143846416,0.24330948686013015,0.1282380316176996,0.0,0.0023037646165752035
spin_dynamics_90_dataset,0.15,90,0.32614669852172945,0.02765180180738186,0.3477066029565411,0.19822223392731747,0.0,0.002914755837296242
spin_dynamics_90_dataset,0.17,90,0.2671031098709601,0.027706190802785288,0.4657937802580798,0.2787185499473028,0.0,0.002920488940800351
spin_dynamics_90_dataset,0.19,90,0.2038299570072067,0.028104801392473545,0.5923400859855866,0.4048373365236296,0.0,0.0029625061862296083
spin_dynamics_90_dataset,0.21,90,0.15025940465176732,0.020890953854589,0.6994811906964653,0.5784357330416043,0.0,0.0022020998891325097
spin_dynamics_90_dataset,0.23,90,0.1149051806948273,0.02372400212751292,0.7701896386103453,0.6451907739917906,0.0,0.002500729397920707
spin_dynamics_90_dataset,0.25,90,0.097214958381373,0.022475078692722004,0.805570083237254,0.622072176220582,0.0,0.002369081308684038
spin_dynamics_90_dataset,0.27,90,0.0861496560433926,0.020009363097272793,0.8277006879132148,0.6342052807778154,0.0,0.0021091720638901105
spin_dynamics_90_dataset,0.29,90,0.07717667909920588,0.01421836025891125,0.8456466418015882,0.5940383177134884,0.0,0.001498746767032698
spin_dynamics_90_dataset,0.31,90,0.07653709173423032,0.01705511207323448,0.8469258165315393,0.5500442215037381,0.0,0.0017977666633619137
spin_dynamics_90_dataset,0.33,90,0.07131549941146327,0.014776435718293674,0.8573690011770735,0.5324698057989907,0.0,0.0015575730856291394
spin_dynamics_90_dataset,0.35,90,0.07128540623502504,0.016464732464040666,0.8574291875299499,0.5086270239189836,0.0,0.0017355351883894957
spin_dynamics_90_dataset,0.37,90,0.07143960130097839,0.014553991648768212,0.8571207973980433,0.48168636244265006,0.0,0.0015341254219058958
spin_dynamics_90_dataset,0.39,90,0.07144349026264321,0.012843376190265057,0.8571130194747136,0.4732626616048541,0.0,0.0013538107202537887
